Accession-1,Gene Name,start,end,Genes in same transcription unit,Promoters,Centisome-Position,Direction,Transcription Units,operon,promotorstart,promotorend,operon_direction
b0074,leuA,81958,83529,leuD // leuC // leuB // leuA // leuL,leuLp2 // leuLp1,1.7657075,-,leuLABCD // leuLABCD,leuLABCD,83708,84008,-
b0075,leuL,83622,83708,leuD // leuC // leuB // leuA // leuL,leuLp1 // leuLp2 // leuLp1,1.801557,-,leuL // leuLABCD // leuLABCD,leuLABCD,83708,84008,-
b0076,leuO,84368,85312,leuO,leuOp3 // leuOp2 // leuOp1 // leuOp,1.8176287,+,leuO // leuO // leuO // leuO,leuO,84068,84368,+
b0077,ilvI,85630,87354,ilvH // ilvI,ilvIp2 // ilvIp4 // ilvIp3 // ilvIHp1,1.8448174,+,ilvIH // ilvIH // ilvIH // ilvIH,ilvIH,85330,85630,+
b0078,ilvH,87357,87848,ilvH // ilvI,ilvIp2 // ilvIp4 // ilvIp3 // ilvIHp1,1.8820239,+,ilvIH // ilvIH // ilvIH // ilvIH,ilvIH,85330,85630,+
b0079,fruL,87860,87946,,,1.8936671,+,,,87560,87860,+
b0080,cra,88028,89032,cra,fruRp8,1.89648,+,cra,cra,87728,88028,+
b0081,mraZ,89634,90092,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,mraZp,1.9310796,+,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0082,rsmH,90094,91035,rsmH // mraZ // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,rsmHp1 // mraZp,1.9409901,+,rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0083,ftsL,91032,91397,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,1.9611982,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0084,ftsI,91413,93179,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,1.9694066,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0085,murE,93166,94653,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.0071733,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0086,murF,94650,96008,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.0391448,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0087,mraY,96002,97084,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.068272,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0088,murD,97087,98403,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.0916474,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0089,ftsW,98403,99647,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.1199996,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0090,murG,99644,100711,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.1467357,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0091,murC,100765,102240,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.1708868,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0092,ddlB,102233,103153,mraZ // rsmH // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // lpxC,ftsLp2 // ftsLp1 // rsmHp1 // mraZp,2.2025132,+,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0093,ftsQ,103155,103985,mraZ // rsmH // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL,ftsQp // ftsLp2 // ftsLp1 // rsmHp1 // ftsQp2 // mraZp // ftsQp1,2.2223768,+,ftsQAZ // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsQ // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsQAZ,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0094,ftsA,103982,105244,mraZ // rsmH // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL,ftsQp // ftsLp2 // ftsLp1 // rsmHp1 // ftsAp1 // mraZp // ftsQp1,2.2401938,+,ftsQAZ // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsAZ // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsQAZ,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0095,ftsZ,105305,106456,mraZ // rsmH // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL,ftsQp // ftsLp2 // ftsLp1 // rsmHp1 // mraZp // ftsZp4 // ftsZp3 // ftsZp2 // ftsAp1 // ftsQp1,2.2686965,+,ftsQAZ // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsZ // ftsZ // ftsZ // ftsAZ // ftsQAZ,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0096,lpxC,106557,107474,mraZ // rsmH // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL,lpxCp2 // ftsLp2 // ftsLp1 // rsmHp1 // mraZp // lpxCp1,2.2956698,+,lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC // lpxC,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,89334,89634,+
b0097,secM,107705,108217,mutT // secA // secM,,2.3204024,+,secMA-mutT,secMA-mutT,107405,107705,+
b0098,secA,108279,110984,mutT // secA // secM,,2.3327687,+,secMA-mutT,secMA-mutT,107405,107705,+
b0099,mutT,111044,111433,mutT // secA // secM,,2.3923378,+,secMA-mutT,secMA-mutT,107405,107705,+
b0100,b0100,111564,111698,,,2.404565,-,,,111698,111998,-
b0101,yacG,111649,111846,coaE // zapD // yacG,yacGp,2.4053721,-,yacG // coaE-zapD-yacG,coaE-zapD-yacG,113219,113519,-
b0102,zapD,111856,112599,coaE // zapD // yacG,,2.4098315,-,coaE-zapD-yacG,coaE-zapD-yacG,113219,113519,-
b0103,coaE,112599,113219,coaE // zapD // yacG,,2.4258387,-,coaE-zapD-yacG,coaE-zapD-yacG,113219,113519,-
b0104,guaC,113444,114487,guaC,,2.4440436,+,guaC,guaC,113144,113444,+
b0105,b0105,114407,114514,,,2.4658408,-,,,114514,114814,-
b0106,hofC,114522,115724,ppdD // hofB // hofC,ppdDp,2.4672682,-,ppdD-hofBC,ppdD-hofBC,117549,117849,-
b0107,hofB,115714,117099,ppdD // hofB // hofC,ppdDp,2.4929485,-,ppdD-hofBC,ppdD-hofBC,117549,117849,-
b0108,ppdD,117109,117549,ppdD // hofB // hofC,ppdDp,2.5230026,-,ppdD-hofBC,ppdD-hofBC,117549,117849,-
b0109,nadC,117752,118645,nadC,nadCp,2.5368555,-,nadC,nadC,118645,118945,-
b0110,ampD,118733,119284,ampD // ampE,ampD,2.55799,+,ampDE,ampDE,118433,118733,+
b0111,ampE,119281,120135,ampD // ampE,ampD,2.5697963,+,ampDE,ampDE,118433,118733,+
b0112,aroP,120178,121551,aroP,aroPp2 // aroPp1,2.5891213,-,aroP // aroP,aroP,121551,121851,-
b0113,pdhR,122092,122856,pdhR // aceE // aceF // lpd,pdhRp2 // pdhRp,2.6303566,+,pdhR-aceEF-lpdA // pdhR-aceEF-lpdA,pdhR-aceEF-lpd,121792,122092,+
b0114,aceE,123017,125680,pdhR // aceE // aceF // lpd,aceEp2 // pdhRp2 // aceEp1 // pdhRp,2.6502848,+,aceEF // pdhR-aceEF-lpdA // aceEF // pdhR-aceEF-lpdA,pdhR-aceEF-lpd,121792,122092,+
b0115,aceF,125695,127587,pdhR // aceE // aceF // lpd,aceEp2 // pdhRp2 // aceEp1 // pdhRp,2.70798,+,aceEF // pdhR-aceEF-lpdA // aceEF // pdhR-aceEF-lpdA,pdhR-aceEF-lpd,121792,122092,+
b0116,lpd,127912,129336,pdhR // aceE // aceF // lpd,pdhRp2 // lpdAp // pdhRp,2.755743,+,pdhR-aceEF-lpdA // lpdA // pdhR-aceEF-lpdA,pdhR-aceEF-lpd,121792,122092,+
b0117,yacH,129407,131260,yacH,,2.7879515,-,yacH,yacH,131260,131560,-
b0118,acnB,131615,134212,acnB,acnBp2 // acnBp1,2.8355205,+,acnB // acnB,acnB,131315,131615,+
b0119,yacL,134388,134750,yacL,yacLp,2.8952622,+,yacL,yacL,134088,134388,+
b0120,speD,134788,135582,yacC // speD // speE,speDp // yacCp,2.90388,-,speD // yacC-speED,yacC-speED,136917,137217,-
b0121,speE,135598,136464,yacC // speD // speE,speEp // yacCp,2.9213305,-,speE // yacC-speED,yacC-speED,136917,137217,-
b0122,yacC,136570,136917,yacC // speE // speD,yacCp,2.9422712,-,yacC-speED,yacC-speED,136917,137217,-
b0123,cueO,137083,138633,cueO,cueOp,2.9533236,+,cueO,cueO,136783,137083,+
b0124,gcd,138835,141225,gcd,gcdp2 // gcdp1,2.9910688,-,gcd // gcd,gcd,141225,141525,-
b0125,hpt,141431,141967,hpt,hptp,3.046997,+,hpt,hpt,141131,141431,+
b0126,can,142008,142670,can,canp2 // canp,3.059428,-,can // can,can,142670,142970,-
